市区町丁,総合計,凶悪犯計,凶悪犯強盗,凶悪犯その他,粗暴犯計,粗暴犯凶器準備集合,粗暴犯暴行,粗暴犯傷害,粗暴犯脅迫,粗暴犯恐喝,侵入窃盗計,侵入窃盗金庫破り,侵入窃盗学校荒し,侵入窃盗事務所荒し,侵入窃盗出店荒し,侵入窃盗空き巣,侵入窃盗忍込み,侵入窃盗居空き,侵入窃盗その他,非侵入窃盗計,非侵入窃盗自動車盗,非侵入窃盗オートバイ盗,非侵入窃盗自転車盗,非侵入窃盗車上ねらい,非侵入窃盗自販機ねらい,非侵入窃盗工事場ねらい,非侵入窃盗すり,非侵入窃盗ひったくり,非侵入窃盗置引き,非侵入窃盗万引き,非侵入窃盗その他,その他計,その他詐欺,その他占有離脱物横領,その他その他知能犯,その他賭博,その他その他刑法犯,latitude,longitude
東久留米市八幡町３丁目,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,1,2,2,0,0,0,0,2,35.74997,139.511781
東久留米市前沢１丁目,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,2,1,0,0,0,1,35.746595,139.517294
東久留米市前沢３丁目,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,35.741177,139.516755
東久留米市前沢４丁目,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,2,0,1,0,0,0,2,1,1,0,0,0,0,1,35.744745,139.512264
東久留米市前沢５丁目,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,4,1,3,0,0,0,0,3,35.740651,139.510453
東久留米市野火止１丁目,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,12,1,1,1,0,0,0,0,35.760555,139.513544
東久留米市野火止２丁目,8,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,2,35.762862,139.513529
東久留米市野火止３丁目,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,2,35.760855,139.507576
東久留米市弥生１丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,35.738211,139.50538
東久留米市滝山２丁目,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,3,3,0,0,0,0,35.745491,139.509039
東久留米市滝山３丁目,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,35.742461,139.507275
東久留米市滝山４丁目,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,3,35.743474,139.504299
東久留米市滝山５丁目,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,4,2,0,0,0,2,35.745938,139.500997
東久留米市滝山６丁目,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,1,2,2,0,0,0,0,35.747731,139.503683
東久留米市滝山７丁目,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,3,1,0,0,0,2,35.749948,139.505144
東久留米市下里１丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,2,35.756402,139.508156
東久留米市下里２丁目,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,35.753192,139.505876
東久留米市下里３丁目,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,1,0,0,0,0,0,0,1,1,0,0,0,0,1,35.751362,139.500066
東久留米市下里４丁目,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,9,0,0,0,0,0,0,1,1,3,1,1,0,0,1,35.753699,139.496259
東久留米市下里５丁目,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,0,0,0,2,0,0,0,0,0,1,4,2,0,0,0,0,2,35.756464,139.501408
東久留米市下里６丁目,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0,2,35.758005,139.497571
東久留米市下里７丁目,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,2,0,0,0,0,0,1,2,4,1,0,0,0,3,35.758742,139.504462
東久留米市柳窪１丁目,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,35.749106,139.495943
東久留米市柳窪２丁目,11,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,1,0,0,0,0,0,1,4,1,0,0,0,0,1,35.745484,139.494244
東久留米市柳窪４丁目,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,35.748104,139.488676
